date,price,lag1,lag2,lag3
2025-07-18 20:00:00,117988.94664455787,119445.36520434043,118748.1627367753,117678.19493404306
2025-07-19 20:00:00,117901.62655900871,117988.94664455787,119445.36520434043,118748.1627367753
2025-07-20 20:00:00,117256.9208222684,117901.62655900871,117988.94664455787,119445.36520434043
2025-07-21 20:00:00,117482.46977767294,117256.9208222684,117901.62655900871,117988.94664455787
2025-07-22 20:00:00,119955.79570607653,117482.46977767294,117256.9208222684,117901.62655900871
2025-07-23 20:00:00,118629.05588130427,119955.79570607653,117482.46977767294,117256.9208222684
2025-07-24 20:00:00,118354.43517438594,118629.05588130427,119955.79570607653,117482.46977767294
2025-07-25 20:00:00,117540.80837085741,118354.43517438594,118629.05588130427,119955.79570607653
2025-07-26 20:00:00,117959.54234360624,117540.80837085741,118354.43517438594,118629.05588130427
2025-07-27 20:00:00,119418.91405141471,117959.54234360624,117540.80837085741,118354.43517438594
2025-07-28 20:00:00,118003.30201607826,119418.91405141471,117959.54234360624,117540.80837085741
2025-07-29 20:00:00,117853.30892863822,118003.30201607826,119418.91405141471,117959.54234360624
2025-07-30 20:00:00,117833.24087995925,117853.30892863822,118003.30201607826,119418.91405141471
2025-07-31 20:00:00,115700.00243915782,117833.24087995925,117853.30892863822,118003.30201607826
2025-08-01 20:00:00,113234.6051343189,115700.00243915782,117833.24087995925,117853.30892863822
2025-08-02 20:00:00,112554.90232221723,113234.6051343189,115700.00243915782,117833.24087995925
2025-08-03 20:00:00,114199.10966460757,112554.90232221723,113234.6051343189,115700.00243915782
2025-08-04 20:00:00,115138.68613070177,114199.10966460757,112554.90232221723,113234.6051343189
2025-08-05 20:00:00,114128.35408881678,115138.68613070177,114199.10966460757,112554.90232221723
2025-08-06 20:00:00,115022.09576830892,114128.35408881678,115138.68613070177,114199.10966460757
2025-08-07 20:00:00,117463.47451085235,115022.09576830892,114128.35408881678,115138.68613070177
2025-08-08 20:00:00,116688.36663186055,117463.47451085235,115022.09576830892,114128.35408881678
2025-08-09 20:00:00,116510.08393213755,116688.36663186055,117463.47451085235,115022.09576830892
2025-08-10 20:00:00,119266.92516880555,116510.08393213755,116688.36663186055,117463.47451085235
2025-08-11 20:00:00,118773.79960860992,119266.92516880555,116510.08393213755,116688.36663186055
2025-08-12 20:00:00,120202.53485503166,118773.79960860992,119266.92516880555,116510.08393213755
2025-08-13 20:00:00,123560.99363577305,120202.53485503166,118773.79960860992,119266.92516880555
2025-08-14 20:00:00,118405.59579823953,123560.99363577305,120202.53485503166,118773.79960860992
2025-08-15 20:00:00,117339.79190213277,118405.59579823953,123560.99363577305,120202.53485503166
2025-08-16 20:00:00,117501.21653394958,117339.79190213277,118405.59579823953,123560.99363577305
2025-08-17 20:00:00,117542.83687778088,117501.21653394958,117339.79190213277,118405.59579823953
2025-08-18 20:00:00,116256.41276740946,117542.83687778088,117501.21653394958,117339.79190213277
2025-08-19 20:00:00,112778.34483555844,116256.41276740946,117542.83687778088,117501.21653394958
2025-08-20 20:00:00,114252.39755195397,112778.34483555844,116256.41276740946,117542.83687778088
2025-08-21 20:00:00,112414.39987336512,114252.39755195397,112778.34483555844,116256.41276740946
2025-08-22 20:00:00,116834.24948202295,112414.39987336512,114252.39755195397,112778.34483555844
2025-08-23 20:00:00,115359.98346714744,116834.24948202295,112414.39987336512,114252.39755195397
2025-08-24 20:00:00,113399.54847314971,115359.98346714744,116834.24948202295,112414.39987336512
2025-08-25 20:00:00,110185.35443900425,113399.54847314971,115359.98346714744,116834.24948202295
2025-08-26 20:00:00,111842.70999260596,110185.35443900425,113399.54847314971,115359.98346714744
2025-08-27 20:00:00,111216.08479629169,111842.70999260596,110185.35443900425,113399.54847314971
2025-08-28 20:00:00,112525.59740669793,111216.08479629169,111842.70999260596,110185.35443900425
2025-08-29 20:00:00,108480.30666639366,112525.59740669793,111216.08479629169,111842.70999260596
2025-08-30 20:00:00,108781.95727925687,108480.30666639366,112525.59740669793,111216.08479629169
2025-08-31 20:00:00,108253.36092385623,108781.95727925687,108480.30666639366,112525.59740669793
2025-09-01 20:00:00,109162.68557992298,108253.36092385623,108781.95727925687,108480.30666639366
2025-09-02 20:00:00,111190.18209845416,109162.68557992298,108253.36092385623,108781.95727925687
2025-09-03 20:00:00,111711.51977725117,111190.18209845416,109162.68557992298,108253.36092385623
2025-09-04 20:00:00,110724.736377486,111711.51977725117,111190.18209845416,109162.68557992298
2025-09-05 20:00:00,110662.18112628513,110724.736377486,111711.51977725117,111190.18209845416
2025-09-06 20:00:00,110209.1888247784,110662.18112628513,110724.736377486,111711.51977725117
2025-09-07 20:00:00,111131.9923868407,110209.1888247784,110662.18112628513,110724.736377486
2025-09-08 20:00:00,112025.12878118771,111131.9923868407,110209.1888247784,110662.18112628513
2025-09-09 20:00:00,111547.43956434788,112025.12878118771,111131.9923868407,110209.1888247784
2025-09-10 20:00:00,113975.32489468766,111547.43956434788,112025.12878118771,111131.9923868407
2025-09-11 20:00:00,115503.16663193036,113975.32489468766,111547.43956434788,112025.12878118771
2025-09-12 20:00:00,116160.14344594491,115503.16663193036,113975.32489468766,111547.43956434788
2025-09-13 20:00:00,115970.58488443034,116160.14344594491,115503.16663193036,113975.32489468766
2025-09-14 20:00:00,115373.55555886829,115970.58488443034,116160.14344594491,115503.16663193036
2025-09-15 20:00:00,115397.25272727509,115373.55555886829,115970.58488443034,116160.14344594491
2025-09-16 20:00:00,116762.8496864193,115397.25272727509,115373.55555886829,115970.58488443034
2025-09-17 20:00:00,116455.94648225319,116762.8496864193,115397.25272727509,115373.55555886829
2025-09-18 20:00:00,117145.49508952006,116455.94648225319,116762.8496864193,115397.25272727509
2025-09-19 20:00:00,115655.81046441344,117145.49508952006,116455.94648225319,116762.8496864193
2025-09-20 20:00:00,115715.51536781774,115655.81046441344,117145.49508952006,116455.94648225319
2025-09-21 20:00:00,115304.47999407038,115715.51536781774,115655.81046441344,117145.49508952006
2025-09-22 20:00:00,112696.74101711863,115304.47999407038,115715.51536781774,115655.81046441344
2025-09-23 20:00:00,112022.16587861195,112696.74101711863,115304.47999407038,115715.51536781774
2025-09-24 20:00:00,113320.56908541008,112022.16587861195,112696.74101711863,115304.47999407038
2025-09-25 20:00:00,108963.53013595635,113320.56908541008,112022.16587861195,112696.74101711863
2025-09-26 20:00:00,109710.20874667744,108963.53013595635,113320.56908541008,112022.16587861195
2025-09-27 20:00:00,109654.81021075726,109710.20874667744,108963.53013595635,113320.56908541008
2025-09-28 20:00:00,112142.57362752674,109654.81021075726,109710.20874667744,108963.53013595635
2025-09-29 20:00:00,114309.15041119447,112142.57362752674,109654.81021075726,109710.20874667744
2025-09-30 20:00:00,114024.22783550054,114309.15041119447,112142.57362752674,109654.81021075726
2025-10-01 20:00:00,118503.24451752483,114024.22783550054,114309.15041119447,112142.57362752674
2025-10-02 20:00:00,120611.71911591051,118503.24451752483,114024.22783550054,114309.15041119447
2025-10-03 20:00:00,122250.15186842803,120611.71911591051,118503.24451752483,114024.22783550054
2025-10-04 20:00:00,122380.93708463266,122250.15186842803,120611.71911591051,118503.24451752483
2025-10-05 20:00:00,123506.18520027678,122380.93708463266,122250.15186842803,120611.71911591051
2025-10-06 20:00:00,124773.50823074432,123506.18520027678,122380.93708463266,122250.15186842803
2025-10-07 20:00:00,121518.75593575071,124773.50823074432,123506.18520027678,122380.93708463266
2025-10-08 20:00:00,123352.50487523204,121518.75593575071,124773.50823074432,123506.18520027678
2025-10-09 20:00:00,121698.03066778315,123352.50487523204,121518.75593575071,124773.50823074432
2025-10-10 20:00:00,113201.74064138904,121698.03066778315,123352.50487523204,121518.75593575071
2025-10-11 20:00:00,110853.11663883903,113201.74064138904,121698.03066778315,123352.50487523204
2025-10-12 20:00:00,115189.5714637257,110853.11663883903,113201.74064138904,121698.03066778315
2025-10-13 20:00:00,115222.28302116522,115189.5714637257,110853.11663883903,113201.74064138904
2025-10-14 20:00:00,113156.56943826913,115222.28302116522,115189.5714637257,110853.11663883903
2025-10-15 20:00:00,110708.66960879423,113156.56943826913,115222.28302116522,115189.5714637257
2025-10-16 20:00:00,108076.72862033188,110708.66960879423,113156.56943826913,115222.28302116522
2025-10-17 20:00:00,106443.61194984635,108076.72862033188,110708.66960879423,113156.56943826913
2025-10-18 20:00:00,107156.00337647724,106443.61194984635,108076.72862033188,110708.66960879423
2025-10-19 20:00:00,108621.134857428,107156.00337647724,106443.61194984635,108076.72862033188
2025-10-20 20:00:00,110608.5714932665,108621.134857428,107156.00337647724,106443.61194984635
2025-10-21 20:00:00,108486.10262716639,110608.5714932665,108621.134857428,107156.00337647724
2025-10-22 20:00:00,107618.4266715404,108486.10262716639,110608.5714932665,108621.134857428
2025-10-23 20:00:00,110048.51827291629,107618.4266715404,108486.10262716639,110608.5714932665
2025-10-24 20:00:00,110997.80437129698,110048.51827291629,107618.4266715404,108486.10262716639
2025-10-25 20:00:00,111620.3093731354,110997.80437129698,110048.51827291629,107618.4266715404
2025-10-26 20:00:00,114476.01227508577,111620.3093731354,110997.80437129698,110048.51827291629
2025-10-27 20:00:00,114182.79442806762,114476.01227508577,111620.3093731354,110997.80437129698
2025-10-28 20:00:00,112950.34863259472,114182.79442806762,114476.01227508577,111620.3093731354
2025-10-29 20:00:00,110046.66925837283,112950.34863259472,114182.79442806762,114476.01227508577
2025-10-30 20:00:00,108240.76528725718,110046.66925837283,112950.34863259472,114182.79442806762
2025-10-31 20:00:00,109573.90555629115,108240.76528725718,110046.66925837283,112950.34863259472
2025-11-01 20:00:00,110014.13556776087,109573.90555629115,108240.76528725718,110046.66925837283
2025-11-02 19:00:00,110650.2092823146,110014.13556776087,109573.90555629115,108240.76528725718
2025-11-03 19:00:00,106521.08673825761,110650.2092823146,110014.13556776087,109573.90555629115
2025-11-04 19:00:00,101635.2740227234,106521.08673825761,110650.2092823146,110014.13556776087
2025-11-05 19:00:00,103877.95965955159,101635.2740227234,106521.08673825761,110650.2092823146
2025-11-06 19:00:00,101322.6402945857,103877.95965955159,101635.2740227234,106521.08673825761
2025-11-07 19:00:00,103396.084215925,101322.6402945857,103877.95965955159,101635.2740227234
2025-11-08 19:00:00,102290.13714655167,103396.084215925,101322.6402945857,103877.95965955159
2025-11-09 19:00:00,104709.67861656273,102290.13714655167,103396.084215925,101322.6402945857
2025-11-10 10:47:12,105378.31435521516,104709.67861656273,102290.13714655167,103396.084215925
